 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  94.0000000   1.3812245  87.9169493 -12.4926099   2.6307936   1.0795055   1.9323022 -11.4308264   0.8198951
  95.0000000   1.3812015  87.9268555 -12.4906314   2.6308804   1.0794869   1.9322656 -11.4287241   0.8198930
  96.0000000   1.3811798  87.9361928 -12.4891489   2.6309559   1.0794711   1.9322358 -11.4266649   0.8198913
  97.0000000   1.3811594  87.9453453 -12.4878900   2.6310303   1.0794593   1.9322345 -11.4244119   0.8198904
  98.0000000   1.3811401  87.9542842 -12.4868347   2.6311003   1.0794490   1.9322199 -11.4223214   0.8198894
  99.0000000   1.3811219  87.9628717 -12.4861599   2.6311674   1.0794407   1.9322251 -11.4201823   0.8198889
 100.0000000   1.3811048  87.9712751 -12.4856897   2.6312300   1.0794339   1.9322181 -11.4181347   0.8198883
 101.0000000   1.3810886  87.9794508 -12.4854090   2.6312884   1.0794284   1.9322275 -11.4160737   0.8198881
 102.0000000   1.3810733  87.9873523 -12.4856209   2.6313449   1.0794237   1.9322335 -11.4140933   0.8198879
 103.0000000   1.3810589  87.9951736 -12.4859644   2.6313994   1.0794203   1.9322390 -11.4121274   0.8198877
 104.0000000   1.3810454  88.0027186 -12.4864207   2.6314531   1.0794174   1.9322515 -11.4102218   0.8198877
 105.0000000   1.3810326  88.0101561 -12.4870737   2.6315045   1.0794174   1.9323014 -11.4083130   0.8198899
 106.0000000   1.3810205  88.0176177 -12.4878316   2.6315569   1.0794145   1.9323204 -11.4064443   0.8198901
 107.0000000   1.3810092  88.0250071 -12.4887638   2.6316068   1.0794149   1.9323469 -11.4043880   0.8198906
 108.0000000   1.3809984  88.0324979 -12.4898312   2.6316575   1.0794215   1.9324053 -11.4014382   0.8198920
 109.0000000   1.3809879  88.0397644 -12.4910053   2.6317050   1.0794203   1.9323394 -11.3997054   0.8198909
 110.0000000   1.3809780  88.0472672 -12.4919814   2.6317550   1.0794177   1.9322848 -11.3983363   0.8198898
 111.0000000   1.3809688  88.0548850 -12.4928574   2.6318081   1.0794171   1.9322785 -11.3968736   0.8198894
 112.0000000   1.3809603  88.0622407 -12.4939989   2.6318590   1.0794170   1.9322799 -11.3954927   0.8198893
 113.0000000   1.3809524  88.0700571 -12.4947180   2.6319170   1.0794173   1.9322804 -11.3942074   0.8198891
 114.0000000   1.3809450  88.0778836 -12.4954920   2.6319765   1.0794181   1.9322669 -11.3927973   0.8198890
 115.0000000   1.3809382  88.0857432 -12.4963749   2.6320374   1.0794184   1.9322754 -11.3915892   0.8198890
 116.0000000   1.3809318  88.0936859 -12.4975312   2.6321011   1.0794196   1.9322842 -11.3903737   0.8198891
 117.0000000   1.3809258  88.1017456 -12.4987804   2.6321683   1.0794204   1.9322911 -11.3892014   0.8198894
 118.0000000   1.3809202  88.1099557 -12.4992475   2.6322399   1.0794212   1.9322990 -11.3880913   0.8198896
 119.0000000   1.3809151  88.1183899 -12.4985972   2.6323302   1.0794219   1.9323049 -11.3868939   0.8198904
 120.0000000   1.3809142  88.1990856 -12.8387662   2.6333307   1.0794401   1.9327900 -11.3734123   0.8199102
